Column1,Column2,Column3,,,,,,,
스트링 테이블,,영어_1,독일어,러시아어,일본어,중국어(간체),중국어(번체),태국어,프랑스어
ver.1,,,,,,,,,
String Key,Text,,,,,,,,
STRING_SAMPLE_1,텍스트 표시,,,,,,,,
STRING_SAMPLE_2,<s0>첫번째 인수<s1>두번째 인수,,,,,,,,
STRING_SAMPLE_3,<s0>첫번째 인수<br>줄바꿈,.,,,,,,,
STRING_SAMPLE_4,<s1>두번째 인수<s0>첫번째 인수<br>줄바꿈,,,,,,,,
GOODS_ALL,전체상품,All Items,Gesamte Produkt,Все продукты,全体商品,全部商品,所有品項,สินค้าทั้งหมด,produit entier
GOODS_SNACK,과자,Cookie,Snacks,Закуски ,菓子,饼干,餅乾,ขนม,collations
GOODS_RAMEN,라면,Ramen,Ramen,Рамен,ラーメン,拉面,泡麵,รามยอน,Ramen
GOODS_OTHER,잡화,Grocery,Handelswaren,Товары,雑貨,百货,雜貨,เบ็ดเตล็ด,Marchandise
GOODS_ICE,냉동,Frozen,Gefrorenes Essen,Замороженное,冷凍,速冻食品,冷凍,แช่แข็ง,Des surgelés
GOODS_DRINK,음료,Drink,Getränk,Напитки,ドリンク,饮料,飲料,เครื่องดื่ม,boisson
GOODS_FRESH,신선,Fresh,Frisches Essen,Свежее,生鮮,新鲜果蔬,生鮮,สดใหม่,Fraîche 
E_T_DECO_GOODS,진열대,Display Stand,stand,витрина,陳列台,货架,陳列架,ชั้นวาง,Stand
E_T_DECO_WALL,벽,Wall,Wand,Стена,壁,墙壁,牆壁,กำแพง,mur
E_T_DECO_WALL_INTERIOR,벽장식,Wall Deco,Wandschmuck,Отделка стен,壁装飾,墙面装饰,牆壁裝飾,ตกแต่งผนัง,décoration
E_T_DECO_TILE,타일,Tile,Fliese,Кафельная плитка,タイル,瓷砖,磁磚,กระเบื้อง,tuile
E_T_DECO_INTERIOR,내부꾸미기,Interior Decoration,Innere ,Интерьер ,内部デコ,室内装饰,內部裝飾,ตกแต่งภายใน,Intérieur 
E_T_DECO_MAT,러그,Rug,Teppich,Коврик,ラグ,地毯,地毯,พรม,tapis
TestMsg1,획득 경험치가 200증가 되었습니다.,EXP increased by 200,Erworbene EP : + 200,Приобретаемый опыт увеличен на 200.,獲得経験値が200アップしました。,经验值增加200。,獲得經驗值已增加200。,ได้รับค่าประสบการณ์เพิ่มขึ้น 200,Le XP gagné est plus de 200.
TestMsg2,획득 하트가 200증가 되었습니다.,Hant increased by 200,Erworbene Wissen : + 200,Полученный Хант был увеличен на 200.,獲得ハントが200アップしました。,HANT增加200。,獲得愛心已增加200。,ได้รับคำใบ้เพิ่มขึ้น 200,Les connaissances gagné est plus de 200.
STRING_REMAIN_TIME,남은시간,Remaining time,Verbleibende Zeit,Оставшееся время,残り時間,剩余时间,剩餘時間,เวลาที่เหลือ,Temps restant
STRING_AUTO_CALL,자동손님,Auto Customer,Automatischer Gast,Автоматический клиент,自動お客,自动客人,自動客人,ลูกค้าอัตโนมัติ,Invité automatique
STRING_AUTO_CLARK,자동계산,Auto Calculation,Automatische Berechnung,Автоматический расчет,自動会計,自动计算,自動結帳,คำนวณอัตโนมัติ,Calcul automatique
STRING_AUTO_GOODS,자동진열,Auto Display,Automatische Anzeige,Автоматическая витрина,自動陳列,自动展示,自動陳列,แสดงผลอัตโนมัติ,Affichage automatique
STRING_DAY,일,d,Tag,День,日,日,天,วัน,Jour
STRING_HOUR_SPACE,시간,h,h,h,h,h,h,h,h
STRING_HOUR,시,time,Uhr,Час,時,时,點,ชั่วโมง,L'horloge
STRING_MIN,분,m,m,m,m,m,m,m,m
STRING_SEC,초,s,s,s,s,s,s,s,s
T_ALL,모든 테마,All Themes,Alle Themen,Все темы,全てのテーマ,全部主题,所有主題,ธีมทั้งหมด,Tous les sujets
T_SEOUL,서울,Seoul,Seoul,Сеул,ソウル,首尔,首爾,โซล,Séoul
T_NEWYORK,뉴욕,New York,New York,Нью-Йорк,ニューヨーク,纽约,紐約,นิวยอร์ก,New York
T_BEIJING,베이징,Beijing,Peking,Пекин,北京,北京,北京,ปักกิ่ง,Pékin
T_TOYKO,도쿄,Tokyo,Tokio,Токио,東京,东京,東京,โตเกียว,Tokyo
T_VENEZIA,베네치아,Venice,Venedig,Венеция,ヴェネツィア,威尼斯,威尼斯,เวนิส,Venise
STRING_SEOUL_EN,SEOUL,,,,,,,,
