Column1,Column2,,,Column3,Column4,Column5,,Column6,Column7,Column8,Column9,,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m_Uid,m_strFirstName,m_strSecondName,m_nTheme,m_GoodsCategory,m_GoodsType,m_strDest,m_strGoodsInfo,m_nRareGrade,m_nMaxLevel,m_n64LevelCost,m_n64LevelAddCost,m_nOpneCard,m_nLevelCard,m_nLevelAddCard,sItemIncrease,,,sItemIncrease,,,,,,,,,,,,,,
고유아이디,이름,,테마,카테고리,상품타입,설명,타입정보,상품 레어 등급,최대 레벨,레벨업 초기비용,레벨당 추가비용,최초 열대 필요 카드,등급업 카드,등급업 추가카드,기본 판매가격,기본 진열 경험치,기본 하트,레벨업시 판매 금액,레벨업시 추가 경험치,레벨업시 추가 하트,,,,,,,,,,,,
1,STRING_GOODS_1,STRING_GOODS_second_1,T_SEOUL,GOODS_SNACK,600,감자 과자,GOODS_GOLD,ITEM_RARE_N,100,3000,3000,3,3,1,36,0,0,5,0,0,icon_item_20001_1.png|icon_item_20001_1.png|icon_item_20001_1.png|icon_item_20001_1.png|icon_item_20001_1.png,shop_item_20001_1.png|shop_item_20001_1.png|shop_item_20001_1.png|shop_item_20001_1.png|shop_item_20001_1.png,item_0001_1_f_1.png|item_0001_1_f_2.png|item_0001_1_f_3.png|item_0001_1_f_4.png,item_0001_1_f_1.png|item_0001_1_f_2.png|item_0001_1_f_3.png|item_0001_1_f_4.png,item_0001_1_f_1.png|item_0001_1_f_2.png|item_0001_1_f_3.png|item_0001_1_f_4.png,item_0001_1_f_1.png|item_0001_1_f_2.png|item_0001_1_f_3.png|item_0001_1_f_4.png,item_0001_1_f_1.png|item_0001_1_f_2.png|item_0001_1_f_3.png|item_0001_1_f_4.png,item_0001_1_b_1.png|item_0001_1_b_2.png|item_0001_1_b_3.png|item_0001_1_b_4.png,item_0001_1_b_1.png|item_0001_1_b_2.png|item_0001_1_b_3.png|item_0001_1_b_4.png,item_0001_1_b_1.png|item_0001_1_b_2.png|item_0001_1_b_3.png|item_0001_1_b_4.png,item_0001_1_b_1.png|item_0001_1_b_2.png|item_0001_1_b_3.png|item_0001_1_b_4.png,item_0001_1_b_1.png|item_0001_1_b_2.png|item_0001_1_b_3.png|item_0001_1_b_4.png
2,STRING_GOODS_2,STRING_GOODS_second_2,T_SEOUL,GOODS_SNACK,600,새우 과자,GOODS_EXP,ITEM_RARE_N,100,3000,3000,3,3,1,0,8,0,0,5,0,icon_item_20002_1.png|icon_item_20002_1.png|icon_item_20002_1.png|icon_item_20002_1.png|icon_item_20002_1.png,shop_item_20002_1.png|shop_item_20002_1.png|shop_item_20002_1.png|shop_item_20002_1.png|shop_item_20002_1.png,item_0005_1_f_1.png|item_0005_1_f_2.png|item_0005_1_f_3.png|item_0005_1_f_4.png,item_0005_1_f_1.png|item_0005_1_f_2.png|item_0005_1_f_3.png|item_0005_1_f_4.png,item_0005_1_f_1.png|item_0005_1_f_2.png|item_0005_1_f_3.png|item_0005_1_f_4.png,item_0005_1_f_1.png|item_0005_1_f_2.png|item_0005_1_f_3.png|item_0005_1_f_4.png,item_0005_1_f_1.png|item_0005_1_f_2.png|item_0005_1_f_3.png|item_0005_1_f_4.png,item_0005_1_b_1.png|item_0005_1_b_2.png|item_0005_1_b_3.png|item_0005_1_b_4.png,item_0005_1_b_1.png|item_0005_1_b_2.png|item_0005_1_b_3.png|item_0005_1_b_4.png,item_0005_1_b_1.png|item_0005_1_b_2.png|item_0005_1_b_3.png|item_0005_1_b_4.png,item_0005_1_b_1.png|item_0005_1_b_2.png|item_0005_1_b_3.png|item_0005_1_b_4.png,item_0005_1_b_1.png|item_0005_1_b_2.png|item_0005_1_b_3.png|item_0005_1_b_4.png
3,STRING_GOODS_3,STRING_GOODS_second_3,T_SEOUL,GOODS_SNACK,600,빼빼과자,GOODS_GOLD,ITEM_RARE_N,100,5000,5000,3,3,1,42,0,0,5,0,0,icon_item_20003_1.png|icon_item_20003_1.png|icon_item_20003_1.png|icon_item_20003_1.png|icon_item_20003_1.png,shop_item_20003_1.png|shop_item_20003_1.png|shop_item_20003_1.png|shop_item_20003_1.png|shop_item_20003_1.png,item_0008_1_f_1.png|item_0008_1_f_2.png|item_0008_1_f_3.png|item_0008_1_f_4.png,item_0008_1_f_1.png|item_0008_1_f_2.png|item_0008_1_f_3.png|item_0008_1_f_4.png,item_0008_1_f_1.png|item_0008_1_f_2.png|item_0008_1_f_3.png|item_0008_1_f_4.png,item_0008_1_f_1.png|item_0008_1_f_2.png|item_0008_1_f_3.png|item_0008_1_f_4.png,item_0008_1_f_1.png|item_0008_1_f_2.png|item_0008_1_f_3.png|item_0008_1_f_4.png,item_0008_1_b_1.png|item_0008_1_b_2.png|item_0008_1_b_3.png|item_0008_1_b_4.png,item_0008_1_b_1.png|item_0008_1_b_2.png|item_0008_1_b_3.png|item_0008_1_b_4.png,item_0008_1_b_1.png|item_0008_1_b_2.png|item_0008_1_b_3.png|item_0008_1_b_4.png,item_0008_1_b_1.png|item_0008_1_b_2.png|item_0008_1_b_3.png|item_0008_1_b_4.png,item_0008_1_b_1.png|item_0008_1_b_2.png|item_0008_1_b_3.png|item_0008_1_b_4.png
4,STRING_GOODS_4,,T_NEWYORK,GOODS_SNACK,600,팝콘,GOODS_EXP,ITEM_RARE_N,100,4000,4000,3,3,1,0,12,0,0,5,0,icon_item_20004_1.png|icon_item_20004_1.png|icon_item_20004_1.png|icon_item_20004_1.png|icon_item_20004_1.png,shop_item_20004_1.png|shop_item_20004_1.png|shop_item_20004_1.png|shop_item_20004_1.png|shop_item_20004_1.png,item_0038_3_f_1.png|item_0038_3_f_1.png|item_0038_3_f_2.png|item_0038_3_f_2.png,item_0038_3_f_1.png|item_0038_3_f_1.png|item_0038_3_f_2.png|item_0038_3_f_2.png,item_0038_3_f_1.png|item_0038_3_f_1.png|item_0038_3_f_2.png|item_0038_3_f_2.png,item_0038_3_f_1.png|item_0038_3_f_1.png|item_0038_3_f_2.png|item_0038_3_f_2.png,item_0038_3_f_1.png|item_0038_3_f_1.png|item_0038_3_f_2.png|item_0038_3_f_2.png,item_0038_3_b_1.png|item_0038_3_b_1.png|item_0038_3_b_2.png|item_0038_3_b_2.png,item_0038_3_b_1.png|item_0038_3_b_1.png|item_0038_3_b_2.png|item_0038_3_b_2.png,item_0038_3_b_1.png|item_0038_3_b_1.png|item_0038_3_b_2.png|item_0038_3_b_2.png,item_0038_3_b_1.png|item_0038_3_b_1.png|item_0038_3_b_2.png|item_0038_3_b_2.png,item_0038_3_b_1.png|item_0038_3_b_1.png|item_0038_3_b_2.png|item_0038_3_b_2.png
5,STRING_GOODS_5,,T_SEOUL,GOODS_SNACK,600,초코파이,GOODS_EXP,ITEM_RARE_N,100,5000,5000,3,3,1,0,14,0,0,5,0,icon_item_20005_1.png|icon_item_20005_1.png|icon_item_20005_1.png|icon_item_20005_1.png|icon_item_20005_1.png,shop_item_20005_1.png|shop_item_20005_1.png|shop_item_20005_1.png|shop_item_20005_1.png|shop_item_20005_1.png,item_0053_1_f_1.png|item_0053_1_f_2.png|item_0053_1_f_3.png|item_0053_1_f_4.png,item_0053_1_f_1.png|item_0053_1_f_2.png|item_0053_1_f_3.png|item_0053_1_f_4.png,item_0053_1_f_1.png|item_0053_1_f_2.png|item_0053_1_f_3.png|item_0053_1_f_4.png,item_0053_1_f_1.png|item_0053_1_f_2.png|item_0053_1_f_3.png|item_0053_1_f_4.png,item_0053_1_f_1.png|item_0053_1_f_2.png|item_0053_1_f_3.png|item_0053_1_f_4.png,item_0053_1_b_1.png|item_0053_1_b_2.png|item_0053_1_b_3.png|item_0053_1_b_4.png,item_0053_1_b_1.png|item_0053_1_b_2.png|item_0053_1_b_3.png|item_0053_1_b_4.png,item_0053_1_b_1.png|item_0053_1_b_2.png|item_0053_1_b_3.png|item_0053_1_b_4.png,item_0053_1_b_1.png|item_0053_1_b_2.png|item_0053_1_b_3.png|item_0053_1_b_4.png,item_0053_1_b_1.png|item_0053_1_b_2.png|item_0053_1_b_3.png|item_0053_1_b_4.png
6,STRING_GOODS_6,,T_NEWYORK,GOODS_SNACK,600,콘프레이크,GOODS_GOLD,ITEM_RARE_N,100,3000,3000,3,3,1,36,0,0,5,0,0,icon_item_20006_1.png|icon_item_20006_1.png|icon_item_20006_1.png|icon_item_20006_1.png|icon_item_20006_1.png,shop_item_20006_1.png|shop_item_20006_1.png|shop_item_20006_1.png|shop_item_20006_1.png|shop_item_20006_1.png,item_0069_1_f_1.png|item_0069_1_f_2.png|item_0069_1_f_3.png|item_0069_1_f_4.png,item_0069_1_f_1.png|item_0069_1_f_2.png|item_0069_1_f_3.png|item_0069_1_f_4.png,item_0069_1_f_1.png|item_0069_1_f_2.png|item_0069_1_f_3.png|item_0069_1_f_4.png,item_0069_1_f_1.png|item_0069_1_f_2.png|item_0069_1_f_3.png|item_0069_1_f_4.png,item_0069_1_f_1.png|item_0069_1_f_2.png|item_0069_1_f_3.png|item_0069_1_f_4.png,item_0069_1_b_1.png|item_0069_1_b_2.png|item_0069_1_b_3.png|item_0069_1_b_4.png,item_0069_1_b_1.png|item_0069_1_b_2.png|item_0069_1_b_3.png|item_0069_1_b_4.png,item_0069_1_b_1.png|item_0069_1_b_2.png|item_0069_1_b_3.png|item_0069_1_b_4.png,item_0069_1_b_1.png|item_0069_1_b_2.png|item_0069_1_b_3.png|item_0069_1_b_4.png,item_0069_1_b_1.png|item_0069_1_b_2.png|item_0069_1_b_3.png|item_0069_1_b_4.png
7,STRING_GOODS_7,,T_VENEZIA,GOODS_SNACK,600,마카롱,GOODS_GOLD,ITEM_RARE_N,100,3000,3000,3,3,1,39,0,0,5,0,0,icon_item_20007_1.png|icon_item_20007_1.png|icon_item_20007_1.png|icon_item_20007_1.png|icon_item_20007_1.png,shop_item_20007_1.png|shop_item_20007_1.png|shop_item_20007_1.png|shop_item_20007_1.png|shop_item_20007_1.png,item_0074_2_f_1.png|item_0074_2_f_1.png|item_0074_2_f_2.png|item_0074_2_f_2.png,item_0074_2_f_1.png|item_0074_2_f_1.png|item_0074_2_f_2.png|item_0074_2_f_2.png,item_0074_2_f_1.png|item_0074_2_f_1.png|item_0074_2_f_2.png|item_0074_2_f_2.png,item_0074_2_f_1.png|item_0074_2_f_1.png|item_0074_2_f_2.png|item_0074_2_f_2.png,item_0074_2_f_1.png|item_0074_2_f_1.png|item_0074_2_f_2.png|item_0074_2_f_2.png,item_0074_2_b_1.png|item_0074_2_b_1.png|item_0074_2_b_2.png|item_0074_2_b_2.png,item_0074_2_b_1.png|item_0074_2_b_1.png|item_0074_2_b_2.png|item_0074_2_b_2.png,item_0074_2_b_1.png|item_0074_2_b_1.png|item_0074_2_b_2.png|item_0074_2_b_2.png,item_0074_2_b_1.png|item_0074_2_b_1.png|item_0074_2_b_2.png|item_0074_2_b_2.png,item_0074_2_b_1.png|item_0074_2_b_1.png|item_0074_2_b_2.png|item_0074_2_b_2.png
